"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          92,      -5.213707128,       -5.25831164,      -5.366107482,      -4.535304556,      -10.50924985,     0.02363842323,    -0.02682572765,                 0,                 0,                 0,     0.08735605895,     0.02268781895,    -0.02763435521,                 0,      -1.134835746,    0.002197594666
          93,      -5.222650692,      -5.283233326,      -5.381205268,      -4.546130468,      -10.49995182,     0.02391289576,    -0.02726665876,                 0,                 0,                 0,      0.0875798518,       0.022946736,    -0.02808459667,                 0,      -1.140249137,    0.002197594666
          94,      -5.230994189,      -5.308491469,      -5.394771772,      -4.556204966,      -10.49120278,     0.02407915892,    -0.02756471822,                 0,                 0,                 0,     0.08773256666,     0.02310249575,    -0.02838827707,                 0,      -1.144754197,    0.002197594666
          95,      -5.244694816,      -5.335776793,      -5.414797783,      -4.575608084,      -10.48493995,     0.02434439659,    -0.02800514214,                 0,                 0,                 0,     0.08798705448,     0.02335220127,    -0.02883768936,                 0,       -1.15037323,    0.002197594666
          96,       -5.24905745,      -5.359139752,        -5.4253182,      -4.580246292,      -10.47647403,     0.02450127213,    -0.02830085374,                 0,                 0,                 0,     0.08815879053,     0.02349866106,    -0.02913869569,                 0,      -1.155076912,    0.002197594666
          97,      -5.260284079,      -5.383796438,      -5.441588292,      -4.595430584,      -10.47053073,     0.02474260154,    -0.02873320209,                 0,                 0,                 0,     0.08843680374,     0.02372475472,    -0.02957920294,                 0,      -1.161284598,    0.002197594666
          98,      -5.262597872,      -5.403469823,      -5.445701171,      -4.595786417,      -10.46229408,     0.02488105396,    -0.02902240343,                 0,                 0,                 0,     0.08862185929,     0.02385302983,    -0.02987306003,                 0,      -1.166445902,    0.002197594666
          99,      -5.273010598,      -5.424520108,      -5.458390584,       -4.60883784,      -10.45668757,     0.02508765373,     -0.0294424737,                 0,                 0,                 0,     0.08891648726,     0.02404484349,    -0.03030008463,                 0,      -1.173584187,    0.002197594666
         100,      -5.273809556,       -5.43913888,      -5.458040604,      -4.606423937,      -10.44873518,     0.02520080179,    -0.02971974404,                 0,                 0,                 0,      0.0891112815,     0.02414824604,    -0.03058113487,                 0,      -1.179317399,    0.002197594666
         101,       -5.28366156,      -5.456180718,      -5.469974611,      -4.618421225,      -10.44341598,     0.02536259531,    -0.03011667508,                 0,                 0,                 0,     0.08941799821,      0.0242960883,    -0.03098347063,                 0,      -1.187444531,    0.002197594666
         102,      -5.283062377,      -5.464885967,      -5.468611099,      -4.613986774,      -10.43558227,     0.02544392806,    -0.03037384995,                 0,                 0,                 0,     0.08961970295,     0.02436839623,    -0.03124332731,                 0,      -1.193756321,    0.002197594666
         103,      -5.292634518,      -5.478003543,      -5.481675537,      -4.625529838,      -10.43056588,     0.02555065887,    -0.03072908011,                 0,                 0,                 0,     0.08993460455,     0.02446266467,    -0.03160206592,                 0,      -1.202672708,    0.002197594666
         104,      -5.290943276,      -5.481128643,      -5.480284292,      -4.619649881,      -10.42303487,     0.02559383716,    -0.03095453091,                 0,                 0,                 0,      0.0901405256,     0.02449794854,    -0.03182888628,                 0,      -1.209452522,    0.002197594666
         105,      -5.300446731,      -5.491366424,      -5.494511252,       -4.63109647,      -10.41837939,     0.02563742555,    -0.03125311239,                 0,                 0,                 0,     0.09045899521,     0.02453109003,    -0.03212880708,                 0,      -1.219042541,    0.002197594666
         106,      -5.297708912,      -5.490913254,      -5.492467398,      -4.624028625,      -10.41117814,     0.02563838961,    -0.03143713824,                 0,                 0,                 0,     0.09066649058,     0.02452563109,    -0.03231275448,                 0,      -1.226174449,    0.002197594666
         107,      -5.307053177,        -5.5000911,      -5.507272871,      -4.635371263,      -10.40639027,     0.02562472698,    -0.03159423147,                 0,                 0,                 0,      0.0908737866,     0.02450649431,    -0.03246927519,                 0,      -1.232958755,    0.002197594666
         108,      -5.315089173,      -5.509066421,      -5.522935757,      -4.645920929,      -10.40177047,     0.02559563185,    -0.03172674222,                 0,                 0,                 0,     0.09107896592,     0.02447279235,    -0.03260068982,                 0,      -1.239537371,    0.002197594666
         109,      -5.321904356,      -5.517656386,      -5.537731313,      -4.654876306,       -10.3973005,     0.02555141141,    -0.03183628072,                 0,                 0,                 0,      0.0912801496,     0.02442477601,    -0.03270861831,                 0,      -1.245969555,    0.002197594666
